_id	infinitif	participePasse	participePresent	auxiliaire	formePronominale	present_1	present_2	present_3	present_4	present_5	present_6	imparfait_1	imparfait_2	imparfait_3	imparfait_4	imparfait_5	imparfait_6	passeSimple_1	passeSimple_2	passeSimple_3	passeSimple_4	passeSimple_5	passeSimple_6	futurSimple_1	futurSimple_2	futurSimple_3	futurSimple_4	futurSimple_5	futurSimple_6	passeCompose_1	passeCompose_2	passeCompose_3	passeCompose_4	passeCompose_5	passeCompose_6	plusQueParfait_1	plusQueParfait_2	plusQueParfait_3	plusQueParfait_4	plusQueParfait_5	plusQueParfait_6	passeAnterieur_1	passeAnterieur_2	passeAnterieur_3	passeAnterieur_4	passeAnterieur_5	passeAnterieur_6	futurAnterieur_1	futurAnterieur_2	futurAnterieur_3	futurAnterieur_4	futurAnterieur_5	futurAnterieur_6	subjonctifPresent_1	subjonctifPresent_2	subjonctifPresent_3	subjonctifPresent_4	subjonctifPresent_5	subjonctifPresent_6	subjonctifImparfait_1	subjonctifImparfait_2	subjonctifImparfait_3	subjonctifImparfait_4	subjonctifImparfait_5	subjonctifImparfait_6	subjonctifPasse_1	subjonctifPasse_2	subjonctifPasse_3	subjonctifPasse_4	subjonctifPasse_5	subjonctifPasse_6	subjonctifPlusQueParfait_1	subjonctifPlusQueParfait_2	subjonctifPlusQueParfait_3	subjonctifPlusQueParfait_4	subjonctifPlusQueParfait_5	subjonctifPlusQueParfait_6	conditionnelPresent_1	conditionnelPresent_2	conditionnelPresent_3	conditionnelPresent_4	conditionnelPresent_5	conditionnelPresent_6	conditionnelPasse_1	conditionnelPasse_2	conditionnelPasse_3	conditionnelPasse_4	conditionnelPasse_5	conditionnelPasse_6	conditionnelPasseII_1	conditionnelPasseII_2	conditionnelPasseII_3	conditionnelPasseII_4	conditionnelPasseII_5	conditionnelPasseII_6	imperatifPasse_1	imperatifPasse_2	imperatifPasse_3	imperatifPasse_4	imperatifPasse_5	imperatifPasse_6
24	changer	changé	changeant	avoir	se changer	change	changes	change	changeons	changez	changent	changeais	changeais	changeait	changions	changiez	changeaient	changeai	changeas	changea	changeâmes	changeâtes	changèrent	changerai	changeras	changera	changerons	changerez	changeront	ai changé	as changé	a changé	avons changé	avez changé	ont changé	avais changé	avais changé	avait changé	avions changé	aviez changé	avaient changé	eus changé	eus changé	eut changé	eûmes changé	eûtes changé	eurent changé	aurai changé	auras changé	aura changé	aurons changé	aurez changé	auront changé	change	changes	change	changions	changiez	changent	changeasse	changeasses	changeât	changeassions	changeassiez	changeassent	aie changé	aies changé	ait changé	ayons changé	ayez changé	aient changé	eusse changé	eusses changé	eût changé	eussions changé	eussiez changé	eussent changé	changerais	changerais	changerait	changerions	changeriez	changeraient	aurais changé	aurais changé	aurait changé	aurions changé	auriez changé	auraient changé	eusse changé	eusses changé	eût changé	eussions changé	eussiez changé	eussent changé		aie changé !		ayons changé !	ayez changé !	
25	chanter	chanté	chantant	avoir		chante	chantes	chante	chantons	chantez	chantent	chantais	chantais	chantait	chantions	chantiez	chantaient	chantai	chantas	chanta	chantâmes	chantâtes	chantèrent	chanterai	chanteras	chantera	chanterons	chanterez	chanteront	ai chanté	as chanté	a chanté	avons chanté	avez chanté	ont chanté	avais chanté	avais chanté	avait chanté	avions chanté	aviez chanté	avaient chanté	eus chanté	eus chanté	eut chanté	eûmes chanté	eûtes chanté	eurent chanté	aurai chanté	auras chanté	aura chanté	aurons chanté	aurez chanté	auront chanté	chante	chantes	chante	chantions	chantiez	chantent	chantasse	chantasses	chantât	chantassions	chantassiez	chantassent	aie chanté	aies chanté	ait chanté	ayons chanté	ayez chanté	aient chanté	eusse chanté	eusses chanté	eût chanté	eussions chanté	eussiez chanté	eussent chanté	chanterais	chanterais	chanterait	chanterions	chanteriez	chanteraient	aurais chanté	aurais chanté	aurait chanté	aurions chanté	auriez chanté	auraient chanté	eusse chanté	eusses chanté	eût chanté	eussions chanté	eussiez chanté	eussent chanté		aie chanté !		ayons chanté !	ayez chanté !	
26	chercher	cherché	cherchant	avoir	se chercher	cherche	cherches	cherche	cherchons	cherchez	cherchent	cherchais	cherchais	cherchait	cherchions	cherchiez	cherchaient	cherchai	cherchas	chercha	cherchâmes	cherchâtes	cherchèrent	chercherai	chercheras	cherchera	chercherons	chercherez	chercheront	ai cherché	as cherché	a cherché	avons cherché	avez cherché	ont cherché	avais cherché	avais cherché	avait cherché	avions cherché	aviez cherché	avaient cherché	eus cherché	eus cherché	eut cherché	eûmes cherché	eûtes cherché	eurent cherché	aurai cherché	auras cherché	aura cherché	aurons cherché	aurez cherché	auront cherché	cherche	cherches	cherche	cherchions	cherchiez	cherchent	cherchasse	cherchasses	cherchât	cherchassions	cherchassiez	cherchassent	aie cherché	aies cherché	ait cherché	ayons cherché	ayez cherché	aient cherché	eusse cherché	eusses cherché	eût cherché	eussions cherché	eussiez cherché	eussent cherché	chercherais	chercherais	chercherait	chercherions	chercheriez	chercheraient	aurais cherché	aurais cherché	aurait cherché	aurions cherché	auriez cherché	auraient cherché	eusse cherché	eusses cherché	eût cherché	eussions cherché	eussiez cherché	eussent cherché		aie cherché !		ayons cherché !	ayez cherché !	
27	choisir	choisi	choisissant	avoir	se choisir	choisis	choisis	choisit	choisissons	choisissez	choisissent	choisissais	choisissais	choisissait	choisissions	choisissiez	choisissaient	choisis	choisis	choisit	choisîmes	choisîtes	choisirent	choisirai	choisiras	choisira	choisirons	choisirez	choisiront	ai choisi	as choisi	a choisi	avons choisi	avez choisi	ont choisi	avais choisi	avais choisi	avait choisi	avions choisi	aviez choisi	avaient choisi	eus choisi	eus choisi	eut choisi	eûmes choisi	eûtes choisi	eurent choisi	aurai choisi	auras choisi	aura choisi	aurons choisi	aurez choisi	auront choisi	choisisse	choisisses	choisisse	choisissions	choisissiez	choisissent	choisisse	choisisses	choisît	choisissions	choisissiez	choisissent	aie choisi	aies choisi	ait choisi	ayons choisi	ayez choisi	aient choisi	eusse choisi	eusses choisi	eût choisi	eussions choisi	eussiez choisi	eussent choisi	choisirais	choisirais	choisirait	choisirions	choisiriez	choisiraient	aurais choisi	aurais choisi	aurait choisi	aurions choisi	auriez choisi	auraient choisi	eusse choisi	eusses choisi	eût choisi	eussions choisi	eussiez choisi	eussent choisi		aie choisi !		ayons choisi !	ayez choisi !	
28	cliquer	cliqué	cliquant	avoir		clique	cliques	clique	cliquons	cliquez	cliquent	cliquais	cliquais	cliquait	cliquions	cliquiez	cliquaient	cliquai	cliquas	cliqua	cliquâmes	cliquâtes	cliquèrent	cliquerai	cliqueras	cliquera	cliquerons	cliquerez	cliqueront	ai cliqué	as cliqué	a cliqué	avons cliqué	avez cliqué	ont cliqué	avais cliqué	avais cliqué	avait cliqué	avions cliqué	aviez cliqué	avaient cliqué	eus cliqué	eus cliqué	eut cliqué	eûmes cliqué	eûtes cliqué	eurent cliqué	aurai cliqué	auras cliqué	aura cliqué	aurons cliqué	aurez cliqué	auront cliqué	clique	cliques	clique	cliquions	cliquiez	cliquent							aie cliqué	aies cliqué	ait cliqué	ayons cliqué	ayez cliqué	aient cliqué	eusse cliqué	eusses cliqué	eût cliqué	eussions cliqué	eussiez cliqué	eussent cliqué	cliquerais	cliquerais	cliquerait	cliquerions	cliqueriez	cliqueraient	aurais cliqué	aurais cliqué	aurait cliqué	aurions cliqué	auriez cliqué	auraient cliqué	eusse cliqué	eusses cliqué	eût cliqué	eussions cliqué	eussiez cliqué	eussent cliqué						
29	coller	collé	collant	avoir		colle	colles	colle	collons	collez	collent	collais	collais	collait	collions	colliez	collaient	collai	collas	colla	collâmes	collâtes	collèrent	collerai	colleras	collera	collerons	collerez	colleront	ai collé	as collé	a collé	avons collé	avez collé	ont collé	avais collé	avais collé	avait collé	avions collé	aviez collé	avaient collé	eus collé	eus collé	eut collé	eûmes collé	eûtes collé	eurent collé	aurai collé	auras collé	aura collé	aurons collé	aurez collé	auront collé	colle	colles	colle	collions	colliez	collent							aie collé	aies collé	ait collé	ayons collé	ayez collé	aient collé	eusse collé	eusses collé	eût collé	eussions collé	eussiez collé	eussent collé	collerais	collerais	collerait	collerions	colleriez	colleraient	aurais collé	aurais collé	aurait collé	aurions collé	auriez collé	auraient collé	eusse collé	eusses collé	eût collé	eussions collé	eussiez collé	eussent collé						
30	commander	commandé	commandant	avoir		commande	commandes	commande	commandons	commandez	commandent	commandais	commandais	commandait	commandions	commandiez	commandaient	commandai	commandas	commanda	commandâmes	commandâtes	commandèrent	commanderai	commanderas	commandera	commanderons	commanderez	commanderont	ai commandé	as commandé	a commandé	avons commandé	avez commandé	ont commandé	avais commandé	avais commandé	avait commandé	avions commandé	aviez commandé	avaient commandé	eus commandé	eus commandé	eut commandé	eûmes commandé	eûtes commandé	eurent commandé	aurai commandé	auras commandé	aura commandé	aurons commandé	aurez commandé	auront commandé	commande	commandes	commande	commandions	commandiez	commandent	commandasse	commandasses	commandât	commandassions	commandassiez	commandassent	aie commandé	aies commandé	ait commandé	ayons commandé	ayez commandé	aient commandé	eusse commandé	eusses commandé	eût commandé	eussions commandé	eussiez commandé	eussent commandé	commanderais	commanderais	commanderait	commanderions	commanderiez	commanderaient	aurais commandé	aurais commandé	aurait commandé	aurions commandé	auriez commandé	auraient commandé	eusse commandé	eusses commandé	eût commandé	eussions commandé	eussiez commandé	eussent commandé		aie commandé !		ayons commandé !	ayez commandé !	
31	commencer	commencé	commençant	avoir	se commencer	commence	commences	commence	commençons	commencez	commencent	commençais	commençais	commençait	commencions	commenciez	commençaient	commençai	commenças	commença	commençâmes	commençâtes	commencèrent	commencerai	commenceras	commencera	commencerons	commencerez	commenceront	ai commencé	as commencé	a commencé	avons commencé	avez commencé	ont commencé	avais commencé	avais commencé	avait commencé	avions commencé	aviez commencé	avaient commencé	eus commencé	eus commencé	eut commencé	eûmes commencé	eûtes commencé	eurent commencé	aurai commencé	auras commencé	aura commencé	aurons commencé	aurez commencé	auront commencé	commence	commences	commence	commencions	commenciez	commencent	commençasse	commençasses	commençât	commençassions	commençassiez	commençassent	aie commencé	aies commencé	ait commencé	ayons commencé	ayez commencé	aient commencé	eusse commencé	eusses commencé	eût commencé	eussions commencé	eussiez commencé	eussent commencé	commencerais	commencerais	commencerait	commencerions	commenceriez	commenceraient	aurais commencé	aurais commencé	aurait commencé	aurions commencé	auriez commencé	auraient commencé	eusse commencé	eusses commencé	eût commencé	eussions commencé	eussiez commencé	eussent commencé		aie commencé !		ayons commencé !	ayez commencé !	
32	comprendre	compris	comprenant	avoir	se comprendre	comprends	comprends	comprend	comprenons	comprenez	comprennent	comprenais	comprenais	comprenait	comprenions	compreniez	comprenaient	compris	compris	comprit	comprîmes	comprîtes	comprirent	comprendrai	comprendras	comprendra	comprendrons	comprendrez	comprendront	ai compris	as compris	a compris	avons compris	avez compris	ont compris	avais compris	avais compris	avait compris	avions compris	aviez compris	avaient compris	eus compris	eus compris	eut compris	eûmes compris	eûtes compris	eurent compris	aurai compris	auras compris	aura compris	aurons compris	aurez compris	auront compris	comprenne	comprennes	comprenne	comprenions	compreniez	comprennent	comprisse	comprisses	comprît	comprissions	comprissiez	comprissent	aie compris	aies compris	ait compris	ayons compris	ayez compris	aient compris	eusse compris	eusses compris	eût compris	eussions compris	eussiez compris	eussent compris	comprendrais	comprendrais	comprendrait	comprendrions	comprendriez	comprendraient	aurais compris	aurais compris	aurait compris	aurions compris	auriez compris	auraient compris	eusse compris	eusses compris	eût compris	eussions compris	eussiez compris	eussent compris		aie compris !		ayons compris !	ayez compris !	
33	compter	compté	comptant	avoir	se compter	compte	comptes	compte	comptons	comptez	comptent	comptais	comptais	comptait	comptions	comptiez	comptaient	comptai	comptas	compta	comptâmes	comptâtes	comptèrent	compterai	compteras	comptera	compterons	compterez	compteront	ai compté	as compté	a compté	avons compté	avez compté	ont compté	avais compté	avais compté	avait compté	avions compté	aviez compté	avaient compté	eus compté	eus compté	eut compté	eûmes compté	eûtes compté	eurent compté	aurai compté	auras compté	aura compté	aurons compté	aurez compté	auront compté	compte	comptes	compte	comptions	comptiez	comptent	comptasse	comptasses	comptât	comptassions	comptassiez	comptassent	aie compté	aies compté	ait compté	ayons compté	ayez compté	aient compté	eusse compté	eusses compté	eût compté	eussions compté	eussiez compté	eussent compté	compterais	compterais	compterait	compterions	compteriez	compteraient	aurais compté	aurais compté	aurait compté	aurions compté	auriez compté	auraient compté	eusse compté	eusses compté	eût compté	eussions compté	eussiez compté	eussent compté		aie compté !		ayons compté !	ayez compté !	
34	conduire	conduit	conduisant	avoir	se conduire	conduis	conduis	conduit	conduisons	conduisez	conduisent	conduisais	conduisais	conduisait	conduisions	conduisiez	conduisaient	conduisis	conduisis	conduisit	conduisîmes	conduisîtes	conduisirent	conduirai	conduiras	conduira	conduirons	conduirez	conduiront	ai conduit	as conduit	a conduit	avons conduit	avez conduit	ont conduit	avais conduit	avais conduit	avait conduit	avions conduit	aviez conduit	avaient conduit	eus conduit	eus conduit	eut conduit	eûmes conduit	eûtes conduit	eurent conduit	aurai conduit	auras conduit	aura conduit	aurons conduit	aurez conduit	auront conduit	conduise	conduises	conduise	conduisions	conduisiez	conduisent	conduisisse	conduisisses	conduisît	conduisissions	conduisissiez	conduisissent	aie conduit	aies conduit	ait conduit	ayons conduit	ayez conduit	aient conduit	eusse conduit	eusses conduit	eût conduit	eussions conduit	eussiez conduit	eussent conduit	conduirais	conduirais	conduirait	conduirions	conduiriez	conduiraient	aurais conduit	aurais conduit	aurait conduit	aurions conduit	auriez conduit	auraient conduit	eusse conduit	eusses conduit	eût conduit	eussions conduit	eussiez conduit	eussent conduit		aie conduit !		ayons conduit !	ayez conduit !	
35	connaître	connu	connaissant	avoir	se connaître	connais	connais	connaît	connaissons	connaissez	connaissent	connaissais	connaissais	connaissait	connaissions	connaissiez	connaissaient	connus	connus	connut	connûmes	connûtes	connurent	connaîtrai	connaîtras	connaîtra	connaîtrons	connaîtrez	connaîtront	ai connu	as connu	a connu	avons connu	avez connu	ont connu	avais connu	avais connu	avait connu	avions connu	aviez connu	avaient connu	eus connu	eus connu	eut connu	eûmes connu	eûtes connu	eurent connu	aurai connu	auras connu	aura connu	aurons connu	aurez connu	auront connu	connaisse	connaisses	connaisse	connaissions	connaissiez	connaissent	connusse	connusses	connût	connussions	connussiez	connussent	aie connu	aies connu	ait connu	ayons connu	ayez connu	aient connu	eusse connu	eusses connu	eût connu	eussions connu	eussiez connu	eussent connu	connaîtrais	connaîtrais	connaîtrait	connaîtrions	connaîtriez	connaîtraient	aurais connu	aurais connu	aurait connu	aurions connu	auriez connu	auraient connu	eusse connu	eusses connu	eût connu	eussions connu	eussiez connu	eussent connu		aie connu !		ayons connu !	ayez connu !	
36	conseiller	conseillé	conseillant	avoir		conseille	conseilles	conseille	conseillons	conseillez	conseillent	conseillais	conseillais	conseillait	conseillions	conseilliez	conseillaient	conseillai	conseillas	conseilla	conseillâmes	conseillâtes	conseillèrent	conseillerai	conseilleras	conseillera	conseillerons	conseillerez	conseilleront	ai conseillé	as conseillé	a conseillé	avons conseillé	avez conseillé	ont conseillé	avais conseillé	avais conseillé	avait conseillé	avions conseillé	aviez conseillé	avaient conseillé	eus conseillé	eus conseillé	eut conseillé	eûmes conseillé	eûtes conseillé	eurent conseillé	aurai conseillé	auras conseillé	aura conseillé	aurons conseillé	aurez conseillé	auront conseillé	conseille	conseilles	conseille	conseillions	conseilliez	conseillent							aie conseillé	aies conseillé	ait conseillé	ayons conseillé	ayez conseillé	aient conseillé	eusse conseillé	eusses conseillé	eût conseillé	eussions conseillé	eussiez conseillé	eussent conseillé	conseillerais	conseillerais	conseillerait	conseillerions	conseilleriez	conseilleraient	aurais conseillé	aurais conseillé	aurait conseillé	aurions conseillé	auriez conseillé	auraient conseillé	eusse conseillé	eusses conseillé	eût conseillé	eussions conseillé	eussiez conseillé	eussent conseillé						
37	construire	construit	construisant	avoir	se construire	construis	construis	construit	construisons	construisez	construisent	construisais	construisais	construisait	construisions	construisiez	construisaient	construisis	construisis	construisit	construisîmes	construisîtes	construisirent	construirai	construiras	construira	construirons	construirez	construiront	ai construit	as construit	a construit	avons construit	avez construit	ont construit	avais construit	avais construit	avait construit	avions construit	aviez construit	avaient construit	eus construit	eus construit	eut construit	eûmes construit	eûtes construit	eurent construit	aurai construit	auras construit	aura construit	aurons construit	aurez construit	auront construit	construise	construises	construise	construisions	construisiez	construisent	construisisse	construisisses	construisît	construisissions	construisissiez	construisissent	aie construit	aies construit	ait construit	ayons construit	ayez construit	aient construit	eusse construit	eusses construit	eût construit	eussions construit	eussiez construit	eussent construit	construirais	construirais	construirait	construirions	construiriez	construiraient	aurais construit	aurais construit	aurait construit	aurions construit	auriez construit	auraient construit	eusse construit	eusses construit	eût construit	eussions construit	eussiez construit	eussent construit		aie construit !		ayons construit !	ayez construit !	
38	continuer	continué	continuant	avoir		continue	continues	continue	continuons	continuez	continuent	continuais	continuais	continuait	continuions	continuiez	continuaient	continuai	continuas	continua	continuâmes	continuâtes	continuèrent	continuerai	continueras	continuera	continuerons	continuerez	continueront	ai continué	as continué	a continué	avons continué	avez continué	ont continué	avais continué	avais continué	avait continué	avions continué	aviez continué	avaient continué	eus continué	eus continué	eut continué	eûmes continué	eûtes continué	eurent continué	aurai continué	auras continué	aura continué	aurons continué	aurez continué	auront continué	continue	continues	continue	continuions	continuiez	continuent	continuasse	continuasses	continuât	continuassions	continuassiez	continuassent	aie continué	aies continué	ait continué	ayons continué	ayez continué	aient continué	eusse continué	eusses continué	eût continué	eussions continué	eussiez continué	eussent continué	continuerais	continuerais	continuerait	continuerions	continueriez	continueraient	aurais continué	aurais continué	aurait continué	aurions continué	auriez continué	auraient continué	eusse continué	eusses continué	eût continué	eussions continué	eussiez continué	eussent continué		aie continué !		ayons continué !	ayez continué !	
